token	tag
Dorothy	NNP
laugh,	VB
and	CC
saved	VBD
her	PRP
from	IN
growing	VBG
as	RB
gray	JJ
as	IN
her	PRP$
other	JJ
surroundings.	NN
Toto	NNP
was	VBD
not	RB
gray;	JJ
he	PRP
was	VBD
a	DT
little	JJ
black	JJ
dog,	NN
with	IN
long,	JJ
silky	JJ
hair	NN
and	CC
small	JJ
black	JJ
eyes	NNS
that	WDT
twinkled	VBD
merrily	RB
on	IN
either	DT
side	NN
of	IN
his	PRP$
funny,	JJ
wee	JJ
nose.	NN
Toto	NNP
played	VBD
all	DT
day	NN
long,	RB
and	CC
Dorothy	NNP
played	VBD
with	IN
him,	PRP
and	CC
loved	VBD
him	PRP
dearly.	.
To-day,	RB
however,	RB
they	PRP
were	VBD
not	RB
playing.	VBG
Uncle	NNP
Henry	NNP
sat	VBD
upon	IN
the	DT
door-step	NN
and	CC
looked	VBD
anxiously	RB
at	IN
the	DT
sky,	NN
which	WDT
was	VBD
even	RB
grayer	JJR
than	IN
usual.	JJ
Dorothy	NNP
stood	VBD
in	IN
the	DT
door	NN
with	IN
Toto	NNP
in	IN
her	PRP$
arms,	NN
and	CC
looked	VBD
at	IN
the	DT
sky	NN
too.	RB
Aunt	NNP
Em	NNP
was	VBD
washing	VBG
the	DT
dishes.	NN
From	IN
the	DT
far	RB
north	NN
they	PRP
heard	VBD
a	DT
low	JJ
wail	NN
of	IN
the	DT
wind,	NN
and	CC
Uncle	NNP
Henry	NNP
and	CC
Dorothy	NNP
could	MD
see	VB
where	WRB
the	DT
long	JJ
grass	NN
bowed	VBD
in	IN
waves	NNS
before	IN
the	DT
coming	VBG
storm.	NN
There	RB
now	RB
came	VBD
a	DT
sharp	JJ
whistling	NN
in	IN
the	DT
air	NN
from	IN
the	DT
south,	NN
and	CC
as	IN
they	PRP
turned	VBD
their	PRP$
eyes	NNS
that	DT
way	NN
they	PRP
saw	VBD
ripples	NNS
in	IN
the	DT
grass	NN
coming	VBG
from	IN
that	DT
direction	NN
also.	RB
Suddenly	RB
Uncle	NNP
Henry	NNP
stood	VBD
up.	.
"There's	VBZ
a	DT
cyclone	NN
coming,	VBN
Em,"	NNP
he	PRP
called	VBD
to	IN
his	PRP$
wife;	NN
"I'll	``
go	VB
look	VB
after	IN
the	DT
stock."	NN
Then	RB
he	PRP
ran	VBD
toward	IN
the	DT
sheds	NNS
where	WRB
the	DT
cows	NNS
and	CC
horses	NNS
were	VBD
kept.	VBN
Aunt	NNP
Em	NNP
dropped	VBD
her	PRP$
work	NN
and	CC
came	VBD
to	IN
the	DT
door.	NN
One	CD
glance	NN
told	VBD
her	PRP
of	IN
the	DT
danger	NN
close	RB
at	IN
hand.	NN
"Quick,	NFP
Dorothy!"	NNP
she	PRP
screamed;	VBD
"run	''
for	IN
the	DT
cellar!"	NN
Toto	NNP
jumped	VBD
out	IN
of	IN
Dorothy's	NNP
arms	NNS
and	CC
hid	VBD
under	IN
the	DT
bed,	NN
and	CC
the	DT
girl	NN
started	VBD
to	TO
get	VB
him.	PRP
Aunt	NNP
Em,	NNP
badly	RB
frightened,	JJ
threw	VBD
open	RP
the	DT
trap-door	NN
in	IN
the	DT
floor	NN
and	CC
climbed	VBD
down	IN
the	DT
ladder	NN
into	IN
the	DT
small,	JJ
dark	JJ
hole.	NN
Dorothy	NNP
caught	VBD
Toto	NNP
at	IN
last,	RB
and	CC
started	VBD
to	TO
follow	VB
her	PRP$
aunt.	NN
When	WRB
she	PRP
was	VBD
half	JJ
way	NN
across	IN
the	DT
room	NN
there	EX
came	VBD
a	DT
great	JJ
shriek	NN
from	IN
the	DT
wind,	NN
and	CC
the	DT
house	NN
shook	VBD
so	RB
hard	RB
that	IN
she	PRP
lost	VBD
her	PRP$
footing	NN
and	CC
sat	VBD
down	RP
suddenly	RB
upon	IN
the	DT
floor.	NN
A	DT
strange	JJ
thing	NN
then	RB
happened.	VBD
The	DT
house	NN
whirled	VBD
around	RB
two	CD
or	CC
three	CD
times	NNS
and	CC
rose	VBD
slowly	RB
through	IN
the	DT
air.	NN
Dorothy	NNP
felt	VBD
as	IN
if	IN
she	PRP
were	VBD
going	VBG
up	RP
in	IN
a	DT
balloon.	NN
The	DT
north	NN
and	CC
south	NN
winds	NNS
met	VBD
where	WRB
the	DT
house	NN
stood,	VBD
and	CC
made	VBD
it	PRP
the	DT
exact	JJ
center	NN
of	IN
the	DT
cyclone.	NN
In	IN
the	DT
middle	NN
of	IN
a	DT
cyclone	NN
the	DT
air	NN
is	VBZ
generally	RB
still,	JJ
but	CC
the	DT
great	JJ
pressure	NN
of	IN
the	DT
wind	NN
on	IN
every	DT
side	NN
of	IN
the	DT
house	NN
raised	VBD
it	PRP
up	RP
higher	JJR
and	CC
higher,	RB
until	IN
it	PRP
was	VBD
at	IN
the	DT
very	JJ
top	NN
of	IN
the	DT
cyclone;	NN
and	CC
there	RB
it	PRP
remained	VBD
and	CC
was	VBD
carried	VBN
miles	NNS
and	CC
miles	NNS
away	RB
as	RB
easily	RB
as	IN
you	PRP
could	MD
carry	VB
a	DT
feather.	NN
It	PRP
was	VBD
very	RB
dark,	JJ
and	CC
the	DT
wind	NN
howled	VBD
horribly	RB
around	IN
her,	NN
but	CC
Dorothy	NNP
found	VBD
she	PRP
was	VBD
riding	VBG
quite	RB
easily.	RB
After	IN
the	DT
first	JJ
few	JJ
whirls	NNS
around,	RB
and	CC
one	CD
other	JJ
time	NN
when	WRB
the	DT
house	NN
tipped	VBD
badly,	NN
she	PRP
felt	VBD
as	IN
if	IN
she	PRP
were	VBD
being	VBG
rocked	VBN
gently,	RB
like	IN
a	DT
baby	NN
in	IN
a	DT
cradle.	NN
Toto	NNP
did	VBD
not	RB
like	VB
it.	.
He	PRP
ran	VBD
about	IN
the	DT
room,	NN
now	RB
here,	RB
now	RB
there,	RB
barking	VBG
loudly;	RB
but	CC
Dorothy	NNP
sat	VBD
quite	RB
still	RB
on	IN
the	DT
floor	NN
and	CC
waited	VBD
to	TO
see	VB
what	WP
would	MD
happen.	VB
Once	RB
Toto	NNP
got	VBD
too	RB
near	IN
the	DT
open	JJ
trap-door,	NN
and	CC
fell	VBD
in;	:
and	CC
at	IN
first	RB
the	DT
little	JJ
girl	NN
thought	VBD
she	PRP
had	VBD
lost	VBN
him.	PRP
But	CC
soon	RB
she	PRP
saw	VBD
one	CD
of	IN
his	PRP$
ears	NNS
sticking	VBG
up	RP
through	IN
the	DT
hole,	NN
for	IN
the	DT
strong	JJ
pressure	NN
of	IN
the	DT
air	NN
was	VBD
keeping	VBG
him	PRP
up	RP
so	IN
that	IN
he	PRP
could	MD
not	RB
fall.	.
She	PRP
crept	VBD
to	IN
the	DT
hole,	NN
caught	VBD
Toto	NNP
by	IN
the	DT
ear,	NN
and	CC
dragged	VBD
him	PRP
into	IN
the	DT
room	NN
again;	RB
afterward	RB
closing	VBG
the	DT
trap-door	NN
so	IN
that	IN
no	DT
more	JJR
accidents	NNS
could	MD
happen.	VB
Hour	NN
after	IN
hour	NN
passed	VBD
away,	RB
and	CC
slowly	RB
Dorothy	NNP
got	VBD
over	IN
her	PRP$
fright;	NN
but	CC
she	PRP
felt	VBD
quite	RB
lonely,	JJ
and	CC
the	DT
wind	NN
shrieked	VBD
so	RB
loudly	RB
all	RB
about	IN
her	PRP
that	IN
she	PRP
nearly	RB
became	VBD
deaf.	JJ
At	IN
first	RB
she	PRP
had	VBD
wondered	VBN
if	IN
she	PRP
would	MD
be	VB
dashed	VBN
to	IN
pieces	NNS
when	WRB
the	DT
house	NN
fell	VBD
again;	,
but	CC
as	IN
the	DT
hours	NNS
passed	VBD
and	CC
nothing	NN
terrible	JJ
happened,	VBD
she	PRP
stopped	VBD
worrying	VBG
and	CC
resolved	VBD
to	TO
wait	VB
calmly	RB
and	CC
see	VB
what	WP
the	DT
future	NN
would	MD
bring.	VB
At	IN
last	RB
she	PRP
crawled	VBD
over	IN
the	DT
swaying	VBG
floor	NN
to	IN
her	PRP$
bed,	NN
and	CC
lay	VB
down	RP
upon	IN
it;	:
and	CC
Toto	NNP
followed	VBD
and	CC
lay	VBD
down	RP
beside	IN
her.	NNP
In	IN
spite	NN
of	IN
the	DT
swaying	NN
of	IN
the	DT
house	NN
and	CC
the	DT
wailing	NN
of	IN
the	DT
wind,	NN
Dorothy	NNP
soon	RB
closed	VBD
her	PRP$
eyes	NNS
and	CC
fell	VBD
fast	RB
asleep.	JJ
Chapter	NN
II.	.
She	PRP
was	VBD
awakened	VBN
by	IN
a	DT
shock,	NN
so	RB
sudden	JJ
and	CC
severe	JJ
that	IN
if	IN
Dorothy	NNP
had	VBD
not	RB
been	VBN
lying	VBG
on	IN
the	DT
soft	JJ
bed	NN
she	PRP
might	MD
have	VB
been	VBN
hurt.	VBN
As	IN
it	PRP
was,	VBD
the	DT
jar	NN
made	VBD
her	PRP
catch	VB
her	PRP$
breath	NN
and	CC
wonder	VB
what	WP
had	VBD
happened;	VBN
and	CC
Toto	NNP
put	VBD
his	PRP$
cold	JJ
little	JJ
nose	NN
into	IN
her	PRP$
face	NN
and	CC
whined	VBD
dismally.	RB
Dorothy	NNP
sat	VBD
up	RP
and	CC
noticed	VBD
that	IN
the	DT
house	NN
was	VBD
not	RB
moving;	JJ
nor	CC
was	VBD
it	PRP
dark,	JJ
for	IN
the	DT
bright	JJ
sunshine	NN
came	VBD
in	RB
at	IN
the	DT
window,	NN
flooding	VBG
the	DT
little	JJ
room.	NN
She	PRP
sprang	VBD
from	IN
her	PRP$
bed	NN
and	CC
with	IN
Toto	NNP
at	IN
her	PRP$
heels	NNS
ran	VBD
and	CC
opened	VBD
the	DT
door.	NN
The	DT
little	JJ
girl	NN
gave	VBD
a	DT
cry	NN
of	IN
amazement	NN
and	CC
looked	VBD
about	IN
her,	NN
her	PRP$
eyes	NNS
growing	VBG
bigger	JJR
and	CC
bigger	JJR
at	IN
the	DT
wonderful	JJ
sights	NNS
she	PRP
saw.	VBD
The	DT
cyclone	NN
had	VBD
set	VBN
the	DT
house	NN
down,	RP
very	RB
gently--for	IN
a	DT
cyclone--in	NN
the	DT
midst	NN
of	IN
a	DT
country	NN
of	IN
marvelous	JJ
beauty.	NN
There	EX
were	VBD
lovely	JJ
patches	NNS
of	IN
green	JJ
sward	NN
all	RB
about,	RB
with	IN
stately	JJ
trees	NNS
bearing	VBG
rich	JJ
and	CC
luscious	JJ
fruits.	NNS
Banks	NNS
of	IN
gorgeous	JJ
flowers	NNS
were	VBD
on	IN
every	DT
hand,	NN
and	CC
birds	NNS
with	IN
rare	JJ
and	CC
brilliant	JJ
plumage	NN
sang	VBD
and	CC
fluttered	VBD
in	IN
the	DT
trees	NNS
and	CC
bushes.	NNS
A	DT
little	JJ
way	NN
off	RB
was	VBD
a	DT
small	JJ
brook,	NN
rushing	VBG
and	CC
sparkling	VBG
along	RB
between	IN
green	JJ
banks,	NN
and	CC
murmuring	VBG
in	IN
a	DT
voice	NN
very	RB
grateful	JJ
to	IN
a	DT
little	JJ
girl	NN
who	WP
had	VBD
lived	VBN
so	RB
long	RB
on	IN
the	DT
dry,	JJ
gray	JJ
prairies.	NN
While	IN
she	PRP
stood	VBD
looking	VBG
eagerly	RB
at	IN
the	DT
strange	JJ
and	CC
beautiful	JJ
sights,	NN
she	PRP
noticed	VBD
coming	VBG
toward	IN
her	PRP
a	DT
group	NN
of	IN
the	DT
queerest	JJS
people	NNS
she	PRP
had	VBD
ever	RB
seen.	VBN
They	PRP
were	VBD
not	RB
as	RB
big	JJ
as	IN
the	DT
grown	JJ
folk	NN
she	PRP
had	VBD
always	RB
been	VBN
used	VBN
to;	:
but	CC
neither	CC
were	VBD
they	PRP
very	RB
small.	JJ
In	IN
fact,	NN
they	PRP
seemed	VBD
about	RB
as	RB
tall	JJ
as	IN
Dorothy,	NNP
who	WP
was	VBD
a	DT
well-grown	JJ
child	NN
for	IN
her	PRP$
age,	NN
although	IN
they	PRP
were,	VBD
so	RB
far	RB
as	IN
looks	NNS
go,	VBP
many	JJ
years	NNS
older.	JJ
Three	CD
were	VBD
men	NNS
and	CC
one	CD
a	DT
woman,	NN
and	CC
all	DT
were	VBD
oddly	RB
dressed.	VBN
They	PRP
wore	VBD
round	JJ
hats	NNS
that	WDT
rose	VBD
to	IN
a	DT
small	JJ
point	NN
a	DT
foot	NN
above	IN
their	PRP$
heads,	NN
with	IN
little	JJ
bells	NNS
around	IN
the	DT
brims	NNS
that	WDT
tinkled	VBD
sweetly	RB
as	IN
they	PRP
moved.	VBD
The	DT
hats	NNS
of	IN
the	DT
men	NNS
were	VBD
blue;	JJ
the	DT
little	JJ
woman's	NNS
hat	NN
was	VBD
white,	JJ
and	CC
she	PRP
wore	VBD
a	DT
white	JJ
gown	NN
that	WDT
hung	VBD
in	IN
plaits	NNS
from	IN
her	PRP$
shoulders;	NN
over	IN
it	PRP
were	VBD
sprinkled	VBN
little	JJ
stars	NNS
that	WDT
glistened	VBD
in	IN
the	DT
sun	NN
like	IN
diamonds.	NN
The	DT
men	NNS
were	VBD
dressed	VBN
in	IN
blue,	JJ
of	IN
the	DT
same	JJ
shade	NN
as	IN
their	PRP$
hats,	NN
and	CC
wore	VBD
well	RB
polished	VBN
boots	NNS
with	IN
a	DT
deep	JJ
roll	NN
of	IN
blue	JJ
at	IN
the	DT
tops.	NN
The	DT
men,	NN
Dorothy	NNP
thought,	VBD
were	VBD
about	RB
as	RB
old	JJ
as	IN
Uncle	NNP
Henry,	NNP
for	IN
two	CD
of	IN
them	PRP
had	VBD
beards.	VBN
But	CC
the	DT
little	JJ
woman	NN
was	VBD
doubtless	RB
much	JJ
older:	JJ
her	PRP$
face	NN
was	VBD
covered	JJ
with	IN
wrinkles,	NN
her	PRP$
hair	NN
was	VBD
nearly	RB
white,	JJ
and	CC
she	PRP
walked	VBD
rather	RB
stiffly.	RB
When	WRB
these	DT
people	NNS
drew	VBD
near	IN
the	DT
house	NN
where	WRB
Dorothy	NNP
was	VBD
standing	VBG
in	IN
the	DT
doorway,	NN
they	PRP
paused	VBD
and	CC
whispered	VBD
among	IN
themselves,	PRP
as	IN
if	IN
afraid	JJ
to	TO
come	VB
farther.	RB
But	CC
the	DT
little	JJ
old	JJ
woman	NN
walked	VBD
up	RP
to	IN
Dorothy,	NNP
made	VBD
a	DT
low	JJ
bow	NN
and	CC
said,	VBD
in	IN
a	DT
sweet	JJ
voice,	NN
"You	``
are	VBP
welcome,	JJ
most	RBS
noble	JJ
Sorceress,	NNP
to	IN
the	DT
land	NN
of	IN
the	DT
Munchkins.	NNP
We	PRP
are	VBP
so	RB
grateful	JJ
to	IN
you	PRP
for	IN
having	VBG
killed	VBN
the	DT
wicked	JJ
Witch	NNP
of	IN
the	DT
East,	NNP
and	CC
for	IN
setting	VBG
our	PRP$
people	NNS
free	JJ
from	IN
bondage."	NN
Dorothy	NNP
listened	VBD
to	IN
this	DT
speech	NN
with	IN
wonder.	NN
What	WP
could	MD
the	DT
little	JJ
woman	NN
possibly	RB
mean	VB
by	IN
calling	VBG
her	PRP
a	DT
sorceress,	NN
and	CC
saying	VBG
she	PRP
had	VBD
killed	VBN
the	DT
wicked	JJ
Witch	NNP
of	IN
the	DT
East?	NNP
Dorothy	NNP
was	VBD
an	DT
innocent,	JJ
harmless	JJ
little	JJ
girl,	NN
who	WP
had	VBD
been	VBN
carried	VBN
by	IN
a	DT
cyclone	NN
many	JJ
miles	NNS
from	IN
home;	NN
and	CC
she	PRP
had	VBD
never	RB
killed	VBN
anything	NN
in	IN
all	PDT
her	PRP$
life.	NN
But	CC
the	DT
little	JJ
woman	NN
evidently	RB
expected	VBD
her	PRP
to	TO
answer;	VB
so	RB
Dorothy	NNP
said,	VBD
with	IN
hesitation,	NN
"You	PRP
are	VBP
very	RB
kind;	JJ
but	CC
there	EX
must	MD
be	VB
some	DT
mistake.	NN
I	PRP
have	VBP
not	RB
killed	VBN
anything."	DT
"Your	PRP$
house	NN
did,	VBD
anyway,"	RB
replied	VBD
the	DT
little	JJ
old	JJ
woman,	NN
with	IN
a	DT
laugh;	JJ
"and	``
that	DT
is	VBZ
the	DT
same	JJ
thing.	NN
See!"	NNP
she	PRP
continued,	VBD
pointing	VBG
to	IN
the	DT
corner	NN
of	IN
the	DT
house;	NN
"there	``
are	VBP
her	PRP$
two	CD
toes,	NN
still	RB
sticking	VBG
out	RP
from	IN
under	IN
a	DT
block	NN
of	IN
wood."	NN
Dorothy	NNP
looked,	VBD
and	CC
gave	VBD
a	DT
little	JJ
cry	NN
of	IN
fright.	NN
There,	RB
indeed,	RB
just	RB
under	IN
the	DT
corner	NN
of	IN
the	DT
great	JJ
beam	NN
the	DT
house	NN
rested	VBD
on,	,
two	CD
feet	NNS
were	VBD
sticking	VBG
out,	JJ
shod	NN
in	IN
silver	JJ
shoes	NNS
with	IN
pointed	JJ
toes.	NN
"Oh,	IN
dear!	NN
oh,	UH
dear!"	UH
cried	VBD
Dorothy,	NNP
clasping	VBG
her	PRP$
hands	NNS
together	RB
in	IN
dismay;	JJ
"the	NN
house	NN
must	MD
have	VB
fallen	VBN
on	IN
her.	PRP
What	WP
ever	RB
shall	MD
we	PRP
do?"	VB
"There	RB
is	VBZ
nothing	NN
to	TO
be	VB
done,"	VBN
said	VBD
the	DT
little	JJ
woman,	NN
calmly.	RB
"But	``
who	WP
was	VBD
she?"	JJ
asked	VBD
Dorothy.	NNP
"She	PRP
was	VBD
the	DT
wicked	JJ
Witch	NNP
of	IN
the	DT
East,	NNP
as	IN
I	PRP
said,"	VBD
answered	VBD
the	DT
little	JJ
woman.	NN
"She	PRP
has	VBZ
held	VBN
all	PDT
the	DT
Munchkins	NNPS
in	IN
bondage	NN
for	IN
many	JJ
years,	NNS
making	VBG
them	PRP
slave	NN
for	IN
her	PRP$
night	NN
and	CC
day.	NN
Now	RB
they	PRP
are	VBP
all	RB
set	VBN
free,	JJ
and	CC
are	VBP
grateful	JJ
to	IN
you	PRP
for	IN
the	DT
favour."	NN
"Who	WP
are	VBP
the	DT
Munchkins?"	NNP
enquired	VBD
Dorothy.	NNP
"They	PRP
are	VBP
the	DT
people	NNS
who	WP
live	VBP
in	IN
this	DT
land	NN
of	IN
the	DT
East,	NNP
where	WRB
the	DT
wicked	JJ
Witch	NNP
ruled."	VBD
"Are	VBP
you	PRP
a	DT
Munchkin?"	NNP
asked	VBD
Dorothy.	NNP
"No;	NNP
but	CC
I	PRP
am	VBP
their	PRP$
friend,	NN
although	IN
I	PRP
live	VBP
in	IN
the	DT
land	NN
of	IN
the	DT
North.	NNP
When	WRB
they	PRP
saw	VBD
the	DT
Witch	NNP
of	IN
the	DT
East	NNP
was	VBD
dead	JJ
the	DT
Munchkins	NNPS
sent	VBD
a	DT
swift	JJ
messenger	NN
to	IN
me,	PRP
and	CC
I	PRP
came	VBD
at	IN
once.	RB
I	PRP
am	VBP
the	DT
Witch	NNP
of	IN
the	DT
North."	NNP
"Oh,	NFP
gracious!"	UH
cried	VBD
Dorothy;	NNP
"are	VBP
you	PRP
a	DT
real	JJ
witch?"	NN
"Yes,	RB
indeed;"	RB
answered	VBD
the	DT
little	JJ
woman.	NN
"But	``
I	PRP
am	VBP
a	DT
good	JJ
witch,	NN
and	CC
the	DT
people	NNS
love	VBP
me.	.
I	PRP
am	VBP
not	RB
as	RB
powerful	JJ
as	IN
the	DT
wicked	JJ
Witch	NNP
was	VBD
who	WP
ruled	VBD
here,	RB
or	CC
I	PRP
should	MD
have	VB
set	VBN
the	DT
people	NNS
free	JJ
myself."	''
"But	``
I	PRP
thought	VBD
all	DT
witches	NNS
were	VBD
wicked,"	JJ
said	VBD
the	DT
girl,	NN
who	WP
was	VBD
half	RB
frightened	JJ
at	IN
facing	VBG
a	DT
real	JJ
witch.	NN
"Oh,	UH
no;	UH
that	DT
is	VBZ
a	DT
great	JJ
mistake.	NN
There	EX
were	VBD
only	RB
four	CD
witches	NNS
in	IN
all	PDT
the	DT
Land	NNP
of	IN
Oz,	NNP
and	CC
two	CD
of	IN
them,	PRP
those	DT
who	WP
live	VBP
in	IN
the	DT
North	NNP
and	CC
the	DT
South,	NNP
are	VBP
good	JJ
witches.	NNS
I	PRP
know	VBP
this	DT
is	VBZ
true,	JJ
for	IN
I	PRP
am	VBP
one	CD
of	IN
them	PRP
myself,	PRP
and	CC
cannot	MD
be	VB
mistaken.	VBN
Those	DT
who	WP
dwelt	VBD
in	IN
the	DT
East	NNP
and	CC
the	DT
West	NNP
were,	VBD
indeed,	RB
wicked	JJ
witches;	JJ
but	CC
now	RB
that	IN
you	PRP
have	VBP
killed	VBN
one	CD
of	IN
them,	DT
there	EX
is	VBZ
but	CC
one	CD
wicked	JJ
Witch	NNP
in	IN
all	PDT
the	DT
Land	NNP
of	IN
Oz--the	DT
one	NN
who	WP
lives	VBZ
in	IN
the	DT
West."	NNP
"But,"	``
said	VBD
Dorothy,	NNP
after	IN
a	DT
moment's	JJ
thought,	NN
"Aunt	``
Em	NNP
has	VBZ
told	VBD
me	PRP
that	IN
the	DT
witches	NNS
were	VBD
all	DT
dead--years	NNS
and	CC
years	NNS
ago."	''
"Who	WP
is	VBZ
Aunt	NNP
Em?"	NNP
inquired	VBD
the	DT
little	JJ
old	JJ
woman.	NN
"She	PRP
is	VBZ
my	PRP$
aunt	NN
who	WP
lives	VBZ
in	IN
Kansas,	NNP
where	WRB
I	PRP
came	VBD
from."	''
The	DT
Witch	NNP
of	IN
the	DT
North	NNP
seemed	VBD
to	TO
think	VB
for	IN
a	DT
time,	NN
with	IN
her	PRP$
head	NN
bowed	VBN
and	CC
her	PRP$
eyes	NNS
upon	IN
the	DT
ground.	NN
Then	RB
she	PRP
looked	VBD
up	RP
and	CC
said,	VBD
"I	``
do	VBP
not	RB
know	VB
where	WRB
Kansas	NNP
is,	VBZ
for	IN
I	PRP
have	VBP
never	RB
heard	VBN
that	DT
country	NN
mentioned	VBN
before.	.
But	CC
tell	VB
me,	PRP
is	VBZ
it	PRP
a	DT
civilized	JJ
country?"	NN
"Oh,	UH
yes;"	UH
replied	VBD
Dorothy.	NNP
